"Employee Number","First Name","Last Name","Bank Name","Bank Account Number","Net Salary (₦)"
"EMP033","Chinonso","Eze","UBA","4533166668","355,872.85"
"EMP034","Seyi","Adebayo","GTBank","8674239638","360,587.37"
"EMP035","Bukola","Abiola","First Bank","1710116219","341,746.40"
"EMP060","Ngozi","Okafor","Zenith","9679185426","274,646.21"
"EMP106","Gbemi","Omotayo","Fidelity Bank","1251837136","323,535.00"
"EMP120","Temitope","Okafor","GTBank","8300300577","234,346.93"
"EMP125","Onome","Akanni","Access Bank","8086172302","528,503.32"
"EMP127","Ifeoma","Adejumo","Polaris Bank","1422701550","331,258.38"
"EMP130","Oluwatimileyin","Omodara","Stanbic IBTC","8664882079","443,100.42"
"EMP132","Folake","Anyanwu","Ecobank","3030106617","437,433.27"
"EMP144","Chikezie","Obioma","UBA","2699887270","290,293.16"
"EMP146","Yewande","Adigun","Access Bank","8377088167","150,682.84"
"EMP151","Tosin","Adeyemi","Ecobank","5418232833","516,949.81"
"EMP163","Kehinde","Okoli","GTBank","3338877621","168,228.11"
"EMP165","Ireti","Idowu","GTBank","6289150149","241,225.92"
"EMP171","Adedayo","Onwuka","GTBank","3597724331","235,136.25"
"EMP179","Chinyere","Adelaja","Stanbic IBTC","9908115095","276,946.31"
"EMP180","Anuoluwapo","Olujimi","Ecobank","9303285822","231,284.12"
"EMP181","Osagie","Adigun","Zenith Bank","5310195918","201,164.40"
"EMP182","Ayoola","Ike","Union Bank","3667292043","264,381.74"
"EMP189","Ifeoma","Ogunbanjo","Zenith Bank","9894264595","490,657.58"
"EMP194","Osagie","Nwachinemere","Polaris Bank","1798112150","268,852.83"
"EMP195","Ovie","Onasanya","Fidelity Bank","8763140509","587,733.54"
"EMP199","Folake","Omotayo","Polaris Bank","6305160342","185,001.15"
"EMP203","Funmilayo","Nwachinemere","Zenith Bank","1041531046","219,626.49"
"EMP204","Anuoluwapo","Onyeneke","Stanbic IBTC","3710566582","491,424.25"
"EMP214","Chukwuma","Aiyedun","First Bank","6633778586","536,352.90"
"EMP224","Oluwaseun","Adeyemi","Fidelity Bank","8721631198","502,271.97"
"EMP227","Ayobami","Olorunfemi","GTBank","9904586976","305,136.91"
"EMP236","Chijioke","Chukwu","Fidelity Bank","9633533290","588,184.51"
"EMP241","Ngozi","Ogunleye","GTBank","4178659381","264,740.58"
"EMP242","Anuoluwapo","Omotayo","First Bank","1945826486","420,371.91"
"EMP254","Temitope","Nwosu","Union Bank","6201313620","207,722.98"
"EMP256","Amaka","Ezekwesili","Polaris Bank","5306459450","243,593.47"
"EMP259","Ifeoma","Aiyedun","Ecobank","3328710672","277,179.89"
"EMP262","Sola","Enwezor","Access Bank","1795212538","226,380.09"
"EMP263","Osagie","Adediran","UBA","7249213370","281,487.79"
"EMP266","Obianuju","Chukwunta","UBA","4696689457","195,406.52"
"EMP280","Obinna","Egbuna","First Bank","6447717367","556,128.32"
"EMP296","Eniola","Anyanwu","Stanbic IBTC","3376077463","325,304.95"
"EMP303","Bolanle","Nwokoye","Stanbic IBTC","2067970820","209,564.52"
"EMP311","Temitope","Iwu","Stanbic IBTC","3781569954","323,866.15"
"EMP314","Oghenekaro","Ogu","Access Bank","4993808565","254,279.87"
"EMP319","Gbenga","Lawal","Ecobank","2250949136","319,103.09"
"EMP320","Sopuruchukwu","Adigun","Union Bank","8507497883","172,029.76"
"EMP323","Sopuruchukwu","Oboh","UBA","1817804383","527,616.01"
"EMP324","Kehinde","Adeyemi","UBA","7371573279","438,951.36"
"EMP325","Adewale","Ezeugo","Stanbic IBTC","9807209816","176,271.17"
"EMP328","Oluwadamilare","Agboola","Union Bank","2452066459","381,275.12"
"EMP333","Obafemi","Adewuyi","Fidelity Bank","4633987776","232,024.81"
"EMP336","Segun","Adebayo","GTBank","3836517266","242,322.65"
"EMP338","Chisom","Adewuyi","Union Bank","2125089309","213,802.34"
"EMP340","Bukola","Ike","Union Bank","5268845844","219,648.86"
"EMP344","Gbenga","Ogunjimi","First Bank","3051831252","256,591.44"
"EMP350","Bolanle","Ejiogu","Ecobank","1965067727","555,301.09"
"EMP353","Ezinne","Onyekachi","GTBank","2178158203","249,418.92"
"EMP355","Ireti","Abiola","UBA","6075963527","462,963.65"
"EMP365","Ngozi","Ogunjimi","First Bank","9650701349","290,121.95"
"EMP370","Itoro","Onoh","Fidelity Bank","8370987661","217,008.81"
"EMP373","Olubunmi","Adewale","Ecobank","4482238042","294,941.13"
"EMP378","Chinonso","Egbuna","Fidelity Bank","8578226896","151,801.86"
"EMP381","Adeola","Onwudiwe","Access Bank","1519709079","544,281.53"
"EMP384","Itoro","Oshodi","Union Bank","5160575046","258,005.89"
"EMP392","Ireti","Ogunleye","Ecobank","2304963614","254,741.23"
"EMP396","Obiora","Adewuyi","Zenith Bank","2188332531","276,455.04"
"EMP400","Bolanle","Onwubiko","Polaris Bank","4776436931","166,832.10"
"EMP405","Chijioke","Ogunlolu","Ecobank","8093179263","303,471.72"
"EMP424","Chidera","Okorie","UBA","4405620755","160,299.76"
"EMP427","Opeyemi","Okonkwo","Ecobank","7196439534","244,466.86"
"EMP438","Tosin","Idowu","Union Bank","3952295757","218,594.02"
"EMP443","Temitope","Idowu","Union Bank","7539399243","331,169.77"
"EMP444","Obianuju","Oshodi","Ecobank","7803990970","242,186.50"
"EMP448","Damilola","Onoh","Zenith Bank","2274350418","146,211.66"
"EMP452","Nnamdi","Nwankwo","Access Bank","7540301973","285,802.97"
"EMP460","Bukola","Ogunleye","Ecobank","4248149900","199,807.80"
"EMP463","Ifeoma","Nwosu","Access Bank","5736462531","209,156.27"
"EMP467","Feyisayo","Olujimi","First Bank","3553440342","262,223.33"
"EMP470","Somto","Agboola","First Bank","3849232839","298,952.22"
"EMP473","Funmilayo","Okegbenro","GTBank","6618926823","284,403.52"
"EMP479","Ezinachi","Onoh","Zenith Bank","9155819200","166,539.55"
"EMP487","Tochukwu","Onwubiko","Fidelity Bank","2139027119","216,547.71"
"EMP489","Obafemi","Oyekan","Access Bank","3555656321","335,690.25"
"EMP492","Kehinde","Egbuna","First Bank","1674555072","170,339.23"
"EMP498","Ebuka","Adebanjo","Polaris Bank","1306702926","317,687.09"
"EMP499","Ebuka","Anosike","Access Bank","7808938880","206,871.75"
"EMP517","Adanna","Eze","First Bank","2950049698","252,014.12"
"EMP524","Chimamanda","Ogunjimi","Stanbic IBTC","8331319481","159,556.71"
"EMP525","Yemi","Adebayo","GTBank","2825957977","267,480.01"
"EMP529","Folake","Oboh","Zenith Bank","3363629219","307,306.53"
"EMP530","Ijeoma","Iwu","Fidelity Bank","4550353803","318,274.20"
"EMP532","Gbemi","Okegbenro","Access Bank","8168204967","578,855.01"
"EMP536","Bukola","Lawal","Zenith Bank","8313706299","175,074.13"
"EMP550","Ireti","Onyejekwe","First Bank","7015992643","170,248.18"
"EMP553","Ijeoma","Onyejekwe","Polaris Bank","6246716604","270,090.67"
"EMP556","Tolu","Nwachukwu","Fidelity Bank","6122110529","153,054.41"
"EMP559","Eromosele","Nwankwo","Stanbic IBTC","4590711152","297,881.48"
"EMP560","Adaeze","Eze","Zenith Bank","6065662867","207,364.14"
"EMP564","Folake","Nwankwo","GTBank","8879525611","218,699.86"
"EMP567","Kunle","Balogun","Fidelity Bank","6756711494","572,539.08"
"EMP570","Somto","Adigun","Union Bank","1311570307","270,256.34"
"EMP575","Yemi","Onyema","Ecobank","6922713963","366,562.77"
"EMP577","Funke","Ogunleye","Fidelity Bank","5010075517","176,573.12"
"EMP586","Ifeanyi","Afolabi","Fidelity Bank","6272000062","169,748.04"
"EMP588","Sola","Ogunjimi","Union Bank","1392245997","161,802.34"
"EMP596","Omotola","Eze","Zenith Bank","7186766399","303,733.41"
"EMP616","Funke","Okoli","Stanbic IBTC","6715705115","254,790.37"
"EMP617","Ovie","Nwachinemere","Ecobank","7114223633","163,860.30"
"EMP630","Uchechi","Onyema","Union Bank","9081544414","436,415.63"
"EMP633","Obinna","Nwosu","Zenith Bank","7311011808","257,751.13"
"EMP643","Oluwatobi","Ezekwesili","Polaris Bank","4256292393","499,759.41"
"EMP649","Olumide","Anyanwu","Access Bank","5278201677","262,247.19"
"EMP651","Kehinde","Nwosu","First Bank","3878201524","143,476.68"
"EMP653","Kehinde","Ike","GTBank","9547119184","202,572.14"
"EMP655","Tope","Anosike","Union Bank","9263135031","195,065.40"
"EMP658","Ayobami","Agbaje","UBA","4965395580","329,571.23"
"EMP661","Kehinde","Okeke","Union Bank","2079770569","155,320.89"
"EMP665","Chiamaka","Onwuka","Stanbic IBTC","4783282817","210,287.74"
"EMP670","Chidera","Okeke","Ecobank","8949781901","475,825.03"
"EMP672","Nkechi","Mohammed","Fidelity Bank","8261111839","396,566.65"
"EMP674","Chikezie","Adekeye","Stanbic IBTC","4700855390","314,434.95"
"EMP689","Ngozi","Oluwole","Union Bank","9935429720","297,511.18"
"EMP691","Itoro","Adekeye","Stanbic IBTC","5871743247","309,945.62"
"EMP698","Chinonso","Idowu","GTBank","5829062179","148,637.10"
"EMP703","Chiamaka","Onyeneke","Fidelity Bank","5161807235","154,129.05"
"EMP704","Ifeoma","Okegbenro","Stanbic IBTC","6317189421","517,616.36"
"EMP709","Sola","Iwu","Polaris Bank","7403028869","319,853.17"
"EMP716","Somto","Oyekan","Zenith Bank","4131356954","305,033.93"
"EMP718","Kachi","Nwachinemere","Access Bank","9309500117","320,597.88"
"EMP727","Ezinne","Chukwu","Ecobank","3971203213","334,035.94"
"EMP733","Tobiloba","Chukwunta","Ecobank","8316648259","209,841.69"
"EMP741","Gbenga","Balogun","UBA","5515628633","185,419.88"
"EMP743","Somto","Akanni","First Bank","5972484792","266,409.73"
"EMP750","Adeola","Owolabi","UBA","5931025271","295,109.21"
"EMP752","Olamide","Ogunjimi","First Bank","7671625956","244,598.51"
"EMP754","Kachi","Olopade","UBA","3361388464","499,006.85"
