"Employee Number","First Name","Last Name","Email","Gross Salary (₦)","PAYE Tax (₦)","NHF Contribution (₦)","Employee Pension (₦)","Net Salary (₦)","Employer Pension (₦)","Payroll Month","Issued Date"
"EMP033","Chinonso","Eze","chinonso.eze@example.com","440,461.75","58,161.20","0.00","26,427.70","355,872.85","33,034.63","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP034","Seyi","Adebayo","seyi.adebayo@example.com","446,669.00","59,281.49","0.00","26,800.14","360,587.37","33,500.18","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP035","Bukola","Abiola","bukola.abiola@example.com","421,862.58","54,804.43","0.00","25,311.75","341,746.40","31,639.69","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP060","Ngozi","Okafor","ngozi.okafor@example.com","334,764.83","40,032.73","0.00","20,085.89","274,646.21","25,107.36","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP106","Gbemi","Omotayo","gbemi.omotayo@company.ng","397,885.08","50,476.97","0.00","23,873.11","323,535.00","29,841.38","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP120","Temitope","Okafor","temitope.okafor@company.ng","283,236.50","31,895.38","0.00","16,994.19","234,346.93","21,242.74","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP125","Onome","Akanni","onome.akanni@company.ng","667,750.67","99,182.31","0.00","40,065.04","528,503.32","50,081.30","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP127","Ifeoma","Adejumo","ifeoma.adejumo@company.ng","408,053.83","52,312.22","0.00","24,483.23","331,258.38","30,604.04","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP130","Oluwatimileyin","Omodara","oluwatimileyin.omodara@company.ng","555,307.42","78,888.55","0.00","33,318.45","443,100.42","41,648.06","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP132","Folake","Anyanwu","folake.anyanwu@company.ng","547,845.92","77,541.90","0.00","32,870.75","437,433.27","41,088.44","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP144","Chikezie","Obioma","chikezie.obioma@company.ng","354,771.67","43,192.21","0.00","21,286.30","290,293.16","26,607.88","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP146","Yewande","Adigun","yewande.adigun@company.ng","176,698.00","15,413.28","0.00","10,601.88","150,682.84","13,252.35","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP151","Tosin","Adeyemi","tosin.adeyemi@company.ng","652,539.08","96,436.92","0.00","39,152.35","516,949.81","48,940.43","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP163","Kehinde","Okoli","kehinde.okoli@company.ng","198,708.83","18,558.19","0.00","11,922.53","168,228.11","14,903.16","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP165","Ireti","Idowu","ireti.idowu@company.ng","292,032.25","33,284.40","0.00","17,521.93","241,225.92","21,902.42","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP171","Adedayo","Onwuka","adedayo.onwuka@company.ng","284,245.75","32,054.76","0.00","17,054.74","235,136.25","21,318.43","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP179","Chinyere","Adelaja","chinyere.adelaja@company.ng","337,705.83","40,497.17","0.00","20,262.35","276,946.31","25,327.94","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP180","Anuoluwapo","Olujimi","anuoluwapo.olujimi@company.ng","279,320.25","31,276.92","0.00","16,759.21","231,284.12","20,949.02","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP181","Osagie","Adigun","osagie.adigun@company.ng","240,807.92","25,195.05","0.00","14,448.47","201,164.40","18,060.59","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP182","Ayoola","Ike","ayoola.ike@company.ng","321,640.25","37,960.10","0.00","19,298.41","264,381.74","24,123.02","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP189","Ifeoma","Ogunbanjo","ifeoma.ogunbanjo@company.ng","617,922.17","90,189.26","0.00","37,075.33","490,657.58","46,344.16","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP194","Osagie","Nwachinemere","osagie.nwachinemere@company.ng","327,357.17","38,862.91","0.00","19,641.43","268,852.83","24,551.79","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP195","Ovie","Onasanya","ovie.onasanya@company.ng","745,734.42","113,256.81","0.00","44,744.07","587,733.54","55,930.08","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP199","Folake","Omotayo","folake.omotayo@company.ng","220,140.92","21,931.32","0.00","13,208.45","185,001.15","16,510.57","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP203","Funmilayo","Nwachinemere","funmilayo.nwachinemere@company.ng","264,414.33","28,922.98","0.00","15,864.86","219,626.49","19,831.07","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP204","Anuoluwapo","Onyeneke","anuoluwapo.onyeneke@company.ng","618,931.58","90,371.44","0.00","37,135.89","491,424.25","46,419.87","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP214","Chukwuma","Aiyedun","chukwuma.aiyedun@company.ng","678,085.58","101,047.55","0.00","40,685.13","536,352.90","50,856.42","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP224","Oluwaseun","Adeyemi","oluwaseun.adeyemi@company.ng","633,213.92","92,949.12","0.00","37,992.83","502,271.97","47,491.04","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP227","Ayobami","Olorunfemi","ayobami.olorunfemi@company.ng","373,751.50","46,189.50","0.00","22,425.09","305,136.91","28,031.36","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP236","Chijioke","Chukwu","chijioke.chukwu@company.ng","746,328.17","113,363.97","0.00","44,779.69","588,184.51","55,974.61","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP241","Ngozi","Ogunleye","ngozi.ogunleye@company.ng","322,099.08","38,032.55","0.00","19,325.95","264,740.58","24,157.43","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP242","Anuoluwapo","Omotayo","anuoluwapo.omotayo@company.ng","525,382.58","73,487.72","0.00","31,522.95","420,371.91","39,403.69","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP254","Temitope","Nwosu","temitope.nwosu@company.ng","249,194.00","26,519.38","0.00","14,951.64","207,722.98","18,689.55","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP256","Amaka","Ezekwesili","amaka.ezekwesili@company.ng","295,059.50","33,762.46","0.00","17,703.57","243,593.47","22,129.46","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP259","Ifeoma","Aiyedun","ifeoma.aiyedun@company.ng","338,004.50","40,544.34","0.00","20,280.27","277,179.89","25,350.34","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP262","Sola","Enwezor","sola.enwezor@company.ng","273,049.75","30,286.68","0.00","16,382.98","226,380.09","20,478.73","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP263","Osagie","Adediran","osagie.adediran@company.ng","343,512.75","41,414.20","0.00","20,610.76","281,487.79","25,763.46","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP266","Obianuju","Chukwunta","obianuju.chukwunta@company.ng","233,445.67","24,032.41","0.00","14,006.74","195,406.52","17,508.43","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP280","Obinna","Egbuna","obinna.egbuna@company.ng","704,122.33","105,746.67","0.00","42,247.34","556,128.32","52,809.17","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP296","Eniola","Anyanwu","eniola.anyanwu@company.ng","400,215.42","50,897.54","0.00","24,012.93","325,304.95","30,016.16","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP303","Bolanle","Nwokoye","bolanle.nwokoye@company.ng","251,548.67","26,891.23","0.00","15,092.92","209,564.52","18,866.15","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP311","Temitope","Iwu","temitope.iwu@company.ng","398,321.08","50,555.66","0.00","23,899.27","323,866.15","29,874.08","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP314","Oghenekaro","Ogu","oghenekaro.ogu@company.ng","308,723.58","35,920.30","0.00","18,523.41","254,279.87","23,154.27","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP319","Gbenga","Lawal","gbenga.lawal@company.ng","392,049.92","49,423.84","0.00","23,522.99","319,103.09","29,403.74","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP320","Sopuruchukwu","Adigun","sopuruchukwu.adigun@company.ng","203,555.17","19,312.10","0.00","12,213.31","172,029.76","15,266.64","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP323","Sopuruchukwu","Oboh","sopuruchukwu.oboh@company.ng","666,582.42","98,971.46","0.00","39,994.95","527,616.01","49,993.68","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP324","Kehinde","Adeyemi","kehinde.adeyemi@company.ng","549,844.67","77,902.63","0.00","32,990.68","438,951.36","41,238.35","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP325","Adewale","Ezeugo","adewale.ezeugo@company.ng","208,978.42","20,168.54","0.00","12,538.71","176,271.17","15,673.38","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP328","Oluwadamilare","Agboola","oluwadamilare.agboola@company.ng","473,906.92","64,197.39","0.00","28,434.41","381,275.12","35,543.02","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP333","Obafemi","Adewuyi","obafemi.adewuyi@company.ng","280,267.33","31,426.48","0.00","16,816.04","232,024.81","21,020.05","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP336","Segun","Adebayo","segun.adebayo@company.ng","293,434.58","33,505.86","0.00","17,606.07","242,322.65","22,007.59","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP338","Chisom","Adewuyi","chisom.adewuyi@company.ng","256,967.33","27,746.95","0.00","15,418.04","213,802.34","19,272.55","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP340","Bukola","Ike","bukola.ike@company.ng","264,442.92","28,927.49","0.00","15,866.57","219,648.86","19,833.22","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP344","Gbenga","Ogunjimi","gbenga.ogunjimi@company.ng","311,679.25","36,387.06","0.00","18,700.75","256,591.44","23,375.94","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP350","Bolanle","Ejiogu","bolanle.ejiogu@company.ng","703,033.17","105,550.09","0.00","42,181.99","555,301.09","52,727.49","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP353","Ezinne","Onyekachi","ezinne.onyekachi@company.ng","302,508.17","34,938.76","0.00","18,150.49","249,418.92","22,688.11","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP355","Ireti","Abiola","ireti.abiola@company.ng","581,459.75","83,608.52","0.00","34,887.58","462,963.65","43,609.48","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP365","Ngozi","Ogunjimi","ngozi.ogunjimi@company.ng","354,552.75","43,157.64","0.00","21,273.16","290,121.95","26,591.46","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP370","Itoro","Onoh","itoro.onoh@company.ng","261,067.25","28,394.41","0.00","15,664.03","217,008.81","19,580.04","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP373","Olubunmi","Adewale","olubunmi.adewale@company.ng","360,714.75","44,130.74","0.00","21,642.88","294,941.13","27,053.61","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP378","Chinonso","Egbuna","chinonso.egbuna@company.ng","178,101.83","15,613.86","0.00","10,686.11","151,801.86","13,357.64","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
