"Employee Number","First Name","Last Name","Bank Name","Bank Account Number","Net Salary (₦)"
"EMP009","Ian","Martinez","First Bank","2779055371","271,307.99"
"EMP011","Chinedu","Okafor","GTBank","8904692384","226,333.50"
"EMP012","Amaka","Nwosu","Zenith","62074412","341,756.16"
"EMP013","Tunde","Adebayo","First Bank","9185456587","306,093.51"
"EMP014","Kemi","Adeyemi","Access Bank","4694018742","223,192.82"
"EMP015","Musa","Abdullahi","Zenith","433873233","317,009.04"
"EMP016","Aisha","Bello","GTBank","6879447564","305,037.78"
"EMP017","Olufunke","Ogunleye","First Bank","439921971","209,222.58"
"EMP018","Ibrahim","Suleiman","Access Bank","3149050068","313,981.19"
"EMP019","Ngozi","Okeke","UBA","678539133","331,295.70"
"EMP020","Ifeanyi","Uzoho","UBA","4398125273","372,363.48"
"EMP021","Fatima","Mohammed","Access Bank","3959410712","248,529.34"
"EMP022","Segun","Oladipo","Zenith","7464627943","314,196.81"
"EMP023","Chioma","Eze","Zenith","5238929008","352,584.66"
"EMP024","Yemi","Afolabi","UBA","3332773928","305,617.09"
"EMP025","Halima","Usman","Zenith","7173969912","224,886.66"
"EMP026","Babatunde","Akintola","UBA","570369676","313,837.17"
"EMP027","Uchechukwu","Nnamani","First Bank","5454088529","280,867.75"
"EMP028","Rasaq","Olatunji","First Bank","2029132245","410,412.27"
"EMP029","Binta","Adamu","First Bank","9246272091","294,408.92"
"EMP030","Kehinde","Kolawole","GTBank","2039948952","275,659.75"
"EMP031","Nneka","Ibekwe","Zenith","2183142100","277,234.56"
"EMP032","Adamu","Lawal","Access Bank","9911901619","305,867.74"
"EMP033","Oluchi","Chukwu","UBA","4533166668","353,025.70"
"EMP034","Sulaiman","Jimoh","GTBank","8674239638","357,700.10"
"EMP035","Funmilayo","Ayodele","First Bank","1710116219","339,019.48"
"EMP036","Ahmed","Abdallah","First Bank","7052276748","360,682.46"
"EMP037","Ify","Okoro","Access Bank","4809521274","377,240.34"
"EMP038","Victor","Umeh","Access Bank","3183719850","320,283.95"
"EMP039","Hauwa","Aliyu","Zenith","7548811204","347,112.89"
"EMP040","Joshua","Eze","Zenith","3748297424","317,514.15"
"EMP041","Olabisi","Balogun","Access Bank","8734290005","329,360.03"
"EMP042","Abdullahi","Danjuma","UBA","757701786","263,671.50"
"EMP043","Yetunde","Akinbode","UBA","9223077200","394,205.81"
"EMP044","Emeka","Okoro","Access Bank","2347845846","346,942.76"
"EMP045","Zainab","Musa","First Bank","6557501970","370,995.12"
"EMP046","Chukwuemeka","Iheanacho","GTBank","3638708270","235,209.94"
"EMP047","Comfort","Obi","Access Bank","3603017843","332,533.29"
"EMP048","Tiamiyu","Adekunle","UBA","7546124849","256,328.87"
"EMP049","Ejiro","Osagie","First Bank","9198436663","300,073.39"
"EMP050","Ibrahim","Gambo","Zenith","1484112977","281,559.19"
"EMP051","Adanna","Nwachukwu","First Bank","4981488714","298,395.49"
"EMP052","Sadiq","Lawal","UBA","3945027003","328,159.60"
"EMP053","Yewande","Ajayi","Access Bank","3418242552","384,795.87"
"EMP054","Chukwuemeka","Nnaji","Access Bank","962221883","353,407.56"
"EMP055","Rashida","Bello","Access Bank","7231956132","232,648.66"
"EMP056","Bolaji","Ojo","Access Bank","7882305836","363,570.74"
"EMP057","Adefemi","Ogunbiyi","Access Bank","7189969881","258,062.66"
"EMP058","Precious","Uket","GTBank","1094829749","258,802.93"
"EMP059","Bayo","Williams","Zenith","8676175171","262,958.62"
"EMP060","Ndidi","Nweke","Zenith","9679185426","272,418.01"
