"Employee Number","First Name","Last Name","Email","Gross Salary (₦)","PAYE Tax (₦)","NHF Contribution (₦)","Employee Pension (₦)","Reimbursement Travel (₦)","Net Salary (₦)","Employer Pension (₦)","Payroll Month","Issued Date"
"EMP009","Ian","Martinez","ian.martinez152@example.com","333,333.33","39,358.67","0.00","22,666.67","","271,307.99","28,333.33","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP011","Chinedu","Okafor","chinedu.okafor@example.com","405,016.58","51,141.95","0.00","27,541.13","","226,333.50","34,426.41","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP012","Amaka","Nwosu","amaka.nwosu@example.com","425,496.67","54,806.74","0.00","28,933.77","","341,756.16","36,167.22","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP013","Tunde","Adebayo","tunde.adebayo@example.com","378,193.33","46,382.67","0.00","25,717.15","","306,093.51","32,146.43","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP014","Kemi","Adeyemi","kemi.adeyemi@example.com","271,283.17","29,643.10","0.00","18,447.25","","223,192.82","23,059.07","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP015","Musa","Abdullahi","musa.abdullahi@example.com","392,634.42","48,926.24","0.00","26,699.14","","317,009.04","33,373.93","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP016","Aisha","Bello","aisha.bello@example.com","376,831.83","46,169.49","0.00","25,624.56","","305,037.78","32,030.70","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP017","Olufunke","Ogunleye","olufunke.ogunleye@example.com","253,266.92","26,822.19","0.00","17,222.15","","209,222.58","21,527.69","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP018","Ibrahim","Suleiman","ibrahim.suleiman@example.com","388,613.67","48,206.75","0.00","26,425.73","","313,981.19","33,032.16","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP019","Ngozi","Okeke","ngozi.okeke@example.com","411,606.00","52,321.09","0.00","27,989.21","","331,295.70","34,986.51","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP020","Ifeanyi","Uzoho","ifeanyi.uzoho@example.com","466,140.83","62,079.77","0.00","31,697.58","","372,363.48","39,621.97","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP021","Fatima","Mohammed","fatima.mohammed@example.com","303,957.58","34,759.13","0.00","20,669.11","","248,529.34","25,836.39","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP022","Segun","Oladipo","segun.oladipo@example.com","388,900.00","48,257.99","0.00","26,445.20","","314,196.81","33,056.50","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP023","Chioma","Eze","chioma.eze@example.com","439,876.08","57,379.85","0.00","29,911.57","","352,584.66","37,389.47","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP024","Yemi","Afolabi","yemi.afolabi@example.com","377,578.92","46,286.46","0.00","25,675.37","","305,617.09","32,094.21","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP025","Halima","Usman","halima.usman@example.com","273,467.58","29,985.13","0.00","18,595.79","","224,886.66","23,244.74","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP026","Babatunde","Akintola","babatunde.akintola@example.com","388,422.42","48,172.53","0.00","26,412.72","","313,837.17","33,015.91","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP027","Uchechukwu","Nnamani","uchechukwu.nnamani@example.com","345,661.75","41,289.00","0.00","23,505.00","","280,867.75","29,381.25","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP028","Rasaq","Olatunji","rasaq.olatunji@example.com","516,666.67","71,121.07","0.00","35,133.33","","410,412.27","43,916.67","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP029","Binta","Adamu","binta.adamu@example.com","363,124.67","44,023.27","0.00","24,692.48","","294,408.92","30,865.60","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP030","Kehinde","Kolawole","kehinde.kolawole@example.com","338,945.42","40,237.38","0.00","23,048.29","","275,659.75","28,810.36","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP031","Nneka","Ibekwe","nneka.ibekwe@example.com","340,976.33","40,555.38","0.00","23,186.39","","277,234.56","28,982.99","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP032","Adamu","Lawal","adamu.lawal@example.com","377,902.17","46,337.08","0.00","25,697.35","","305,867.74","32,121.68","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP033","Oluchi","Chukwu","oluchi.chukwu@example.com","440,461.75","57,484.65","0.00","29,951.40","","353,025.70","37,439.25","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
