"Employee Name","Leave Type","Entitlement","Used","Balance","Year"
"Hannah Brown","Unpaid Leave","0.00","0.00","0.00","2025"
"Bob Garcia","Unpaid Leave","0.00","0.00","0.00","2025"
"Ian Martinez","Unpaid Leave","0.00","0.00","0.00","2025"
"Chinedu Okafor","Unpaid Leave","0.00","0.00","0.00","2025"
"Rasaq Olatunji","Unpaid Leave","0.00","0.00","0.00","2025"
"Ibrahim Gambo","Unpaid Leave","0.00","0.00","0.00","2025"
"Alice Brown","Unpaid Leave","0.00","0.00","0.00","2025"
"Hannah Johnson","Unpaid Leave","0.00","0.00","0.00","2025"
"Amaka Nwosu","Unpaid Leave","0.00","0.00","0.00","2025"
"Tunde Adebayo","Unpaid Leave","0.00","0.00","0.00","2025"
"Kemi Adeyemi","Unpaid Leave","0.00","0.00","0.00","2025"
"Musa Abdullahi","Unpaid Leave","0.00","0.00","0.00","2025"
"Aisha Bello","Unpaid Leave","0.00","0.00","0.00","2025"
"Fatima Mohammed","Unpaid Leave","0.00","0.00","0.00","2025"
"Segun Oladipo","Unpaid Leave","0.00","0.00","0.00","2025"
"Chioma Eze","Unpaid Leave","0.00","0.00","0.00","2025"
"Yemi Afolabi","Unpaid Leave","0.00","0.00","0.00","2025"
"Halima Usman","Unpaid Leave","0.00","0.00","0.00","2025"
"Uchechukwu Nnamani","Unpaid Leave","0.00","0.00","0.00","2025"
"Olufunke Ogunleye","Unpaid Leave","0.00","0.00","0.00","2025"
"Ibrahim Suleiman","Unpaid Leave","0.00","0.00","0.00","2025"
"Ngozi Okeke","Unpaid Leave","0.00","0.00","0.00","2025"
"Ifeanyi Uzoho","Unpaid Leave","0.00","0.00","0.00","2025"
"Babatunde Akintola","Unpaid Leave","0.00","0.00","0.00","2025"
"Abdullahi Danjuma","Unpaid Leave","0.00","0.00","0.00","2025"
"Yetunde Akinbode","Unpaid Leave","0.00","0.00","0.00","2025"
"Emeka Okoro","Unpaid Leave","0.00","0.00","0.00","2025"
"Chukwuemeka Iheanacho","Unpaid Leave","0.00","0.00","0.00","2025"
"Comfort Obi","Unpaid Leave","0.00","0.00","0.00","2025"
"Tiamiyu Adekunle","Unpaid Leave","0.00","0.00","0.00","2025"
"Ejiro Osagie","Unpaid Leave","0.00","0.00","0.00","2025"
"Adanna Nwachukwu","Unpaid Leave","0.00","0.00","0.00","2025"
"Sadiq Lawal","Unpaid Leave","0.00","0.00","0.00","2025"
"Yewande Ajayi","Unpaid Leave","0.00","0.00","0.00","2025"
"Chukwuemeka Nnaji","Unpaid Leave","0.00","0.00","0.00","2025"
"Rashida Bello","Unpaid Leave","0.00","0.00","0.00","2025"
"Binta Adamu","Unpaid Leave","0.00","0.00","0.00","2025"
"Kehinde Kolawole","Unpaid Leave","0.00","0.00","0.00","2025"
"Nneka Ibekwe","Unpaid Leave","0.00","0.00","0.00","2025"
"Adamu Lawal","Unpaid Leave","0.00","0.00","0.00","2025"
"Oluchi Chukwu","Unpaid Leave","0.00","0.00","0.00","2025"
"Sulaiman Jimoh","Unpaid Leave","0.00","0.00","0.00","2025"
"Funmilayo Ayodele","Unpaid Leave","0.00","0.00","0.00","2025"
"Ahmed Abdallah","Unpaid Leave","0.00","0.00","0.00","2025"
"Ify Okoro","Unpaid Leave","0.00","0.00","0.00","2025"
"Victor Umeh","Unpaid Leave","0.00","0.00","0.00","2025"
"Hauwa Aliyu","Unpaid Leave","0.00","0.00","0.00","2025"
"Joshua Eze","Unpaid Leave","0.00","0.00","0.00","2025"
"Olabisi Balogun","Unpaid Leave","0.00","0.00","0.00","2025"
"Zainab Musa","Unpaid Leave","0.00","0.00","0.00","2025"
"Bolaji Ojo","Unpaid Leave","0.00","0.00","0.00","2025"
"Adefemi Ogunbiyi","Unpaid Leave","0.00","0.00","0.00","2025"
"Precious Uket","Unpaid Leave","0.00","0.00","0.00","2025"
"Bayo Williams","Unpaid Leave","0.00","0.00","0.00","2025"
"Ndidi Nweke","Unpaid Leave","0.00","0.00","0.00","2025"
