"Employee Name","Leave Type","Entitlement","Used","Balance","Year"
"Bob Garcia","Sick Leave","15.00","0.00","15.00","2025"
"Ian Martinez","Sick Leave","15.00","0.00","15.00","2025"
"Chinedu Okafor","Sick Leave","15.00","0.00","15.00","2025"
"Rasaq Olatunji","Sick Leave","15.00","0.00","15.00","2025"
"Ibrahim Gambo","Sick Leave","15.00","0.00","15.00","2025"
"Alice Brown","Sick Leave","15.00","0.00","15.00","2025"
"Hannah Johnson","Sick Leave","15.00","0.00","15.00","2025"
"Amaka Nwosu","Sick Leave","15.00","0.00","15.00","2025"
"Tunde Adebayo","Sick Leave","15.00","0.00","15.00","2025"
"Kemi Adeyemi","Sick Leave","15.00","0.00","15.00","2025"
"Musa Abdullahi","Sick Leave","15.00","0.00","15.00","2025"
"Aisha Bello","Sick Leave","15.00","0.00","15.00","2025"
"Olufunke Ogunleye","Sick Leave","15.00","0.00","15.00","2025"
"Ibrahim Suleiman","Sick Leave","15.00","0.00","15.00","2025"
"Ngozi Okeke","Sick Leave","15.00","0.00","15.00","2025"
"Ifeanyi Uzoho","Sick Leave","15.00","0.00","15.00","2025"
"Fatima Mohammed","Sick Leave","15.00","0.00","15.00","2025"
"Segun Oladipo","Sick Leave","15.00","0.00","15.00","2025"
"Chioma Eze","Sick Leave","15.00","0.00","15.00","2025"
"Yemi Afolabi","Sick Leave","15.00","0.00","15.00","2025"
"Halima Usman","Sick Leave","15.00","0.00","15.00","2025"
"Babatunde Akintola","Sick Leave","15.00","0.00","15.00","2025"
"Uchechukwu Nnamani","Sick Leave","15.00","0.00","15.00","2025"
"Binta Adamu","Sick Leave","15.00","0.00","15.00","2025"
"Kehinde Kolawole","Sick Leave","15.00","0.00","15.00","2025"
"Nneka Ibekwe","Sick Leave","15.00","0.00","15.00","2025"
"Adamu Lawal","Sick Leave","15.00","0.00","15.00","2025"
"Oluchi Chukwu","Sick Leave","15.00","0.00","15.00","2025"
"Tunde Adebayo","Annual Leave","20.00","0.00","20.00","2025"
"Kemi Adeyemi","Annual Leave","20.00","0.00","20.00","2025"
"Musa Abdullahi","Annual Leave","20.00","0.00","20.00","2025"
"Aisha Bello","Annual Leave","20.00","0.00","20.00","2025"
"Olufunke Ogunleye","Annual Leave","20.00","0.00","20.00","2025"
"Ibrahim Suleiman","Annual Leave","20.00","0.00","20.00","2025"
"Ngozi Okeke","Annual Leave","20.00","0.00","20.00","2025"
"Ifeanyi Uzoho","Annual Leave","20.00","0.00","20.00","2025"
"Fatima Mohammed","Annual Leave","20.00","0.00","20.00","2025"
"Segun Oladipo","Annual Leave","20.00","0.00","20.00","2025"
"Chioma Eze","Annual Leave","20.00","0.00","20.00","2025"
"Yemi Afolabi","Annual Leave","20.00","0.00","20.00","2025"
"Halima Usman","Annual Leave","20.00","0.00","20.00","2025"
"Babatunde Akintola","Annual Leave","20.00","0.00","20.00","2025"
"Uchechukwu Nnamani","Annual Leave","20.00","0.00","20.00","2025"
"Binta Adamu","Annual Leave","20.00","0.00","20.00","2025"
"Kehinde Kolawole","Annual Leave","20.00","0.00","20.00","2025"
"Nneka Ibekwe","Annual Leave","20.00","0.00","20.00","2025"
"Adamu Lawal","Annual Leave","20.00","0.00","20.00","2025"
"Oluchi Chukwu","Annual Leave","20.00","0.00","20.00","2025"
"Sulaiman Jimoh","Annual Leave","20.00","0.00","20.00","2025"
"Ahmed Abdallah","Annual Leave","20.00","0.00","20.00","2025"
"Hannah Brown","Sick Leave","15.00","1.00","14.00","2025"
"Bob Garcia","Annual Leave","20.00","0.00","20.00","2025"
"Ian Martinez","Annual Leave","20.00","0.00","20.00","2025"
"Chinedu Okafor","Annual Leave","20.00","0.00","20.00","2025"
"Ibrahim Gambo","Annual Leave","20.00","0.00","20.00","2025"
"Alice Brown","Annual Leave","20.00","0.00","20.00","2025"
"Hannah Johnson","Annual Leave","20.00","0.00","20.00","2025"
"Amaka Nwosu","Annual Leave","20.00","0.00","20.00","2025"
"Rasaq Olatunji","Annual Leave","20.00","2.00","18.00","2025"
"Sulaiman Jimoh","Sick Leave","15.00","0.00","15.00","2025"
"Funmilayo Ayodele","Sick Leave","15.00","0.00","15.00","2025"
"Yetunde Akinbode","Sick Leave","15.00","0.00","15.00","2025"
"Emeka Okoro","Sick Leave","15.00","0.00","15.00","2025"
"Zainab Musa","Sick Leave","15.00","0.00","15.00","2025"
"Chukwuemeka Iheanacho","Sick Leave","15.00","0.00","15.00","2025"
"Comfort Obi","Sick Leave","15.00","0.00","15.00","2025"
"Tiamiyu Adekunle","Sick Leave","15.00","0.00","15.00","2025"
"Ejiro Osagie","Sick Leave","15.00","0.00","15.00","2025"
"Adanna Nwachukwu","Sick Leave","15.00","0.00","15.00","2025"
"Sadiq Lawal","Sick Leave","15.00","0.00","15.00","2025"
"Yewande Ajayi","Sick Leave","15.00","0.00","15.00","2025"
"Hannah Brown","Unpaid Leave","0.00","0.00","0.00","2025"
"Bob Garcia","Unpaid Leave","0.00","0.00","0.00","2025"
"Ian Martinez","Unpaid Leave","0.00","0.00","0.00","2025"
"Chinedu Okafor","Unpaid Leave","0.00","0.00","0.00","2025"
"Rasaq Olatunji","Unpaid Leave","0.00","0.00","0.00","2025"
"Ibrahim Gambo","Unpaid Leave","0.00","0.00","0.00","2025"
"Alice Brown","Unpaid Leave","0.00","0.00","0.00","2025"
"Hannah Johnson","Unpaid Leave","0.00","0.00","0.00","2025"
"Amaka Nwosu","Unpaid Leave","0.00","0.00","0.00","2025"
"Tunde Adebayo","Unpaid Leave","0.00","0.00","0.00","2025"
"Kemi Adeyemi","Unpaid Leave","0.00","0.00","0.00","2025"
"Musa Abdullahi","Unpaid Leave","0.00","0.00","0.00","2025"
"Aisha Bello","Unpaid Leave","0.00","0.00","0.00","2025"
"Fatima Mohammed","Unpaid Leave","0.00","0.00","0.00","2025"
"Segun Oladipo","Unpaid Leave","0.00","0.00","0.00","2025"
"Chioma Eze","Unpaid Leave","0.00","0.00","0.00","2025"
"Yemi Afolabi","Unpaid Leave","0.00","0.00","0.00","2025"
"Halima Usman","Unpaid Leave","0.00","0.00","0.00","2025"
"Uchechukwu Nnamani","Unpaid Leave","0.00","0.00","0.00","2025"
"Precious Uket","Annual Leave","20.00","0.00","20.00","2025"
"Rasaq Olatunji","Compensatory Leave","10.00","0.00","10.00","2025"
"Ibrahim Gambo","Compensatory Leave","10.00","0.00","10.00","2025"
"Alice Brown","Compensatory Leave","10.00","0.00","10.00","2025"
