"Employee Number","First Name","Last Name","YTD Gross Salary (₦)","YTD Net Salary (₦)","YTD PAYE Tax (₦)","YTD Employee Pension (₦)","YTD Employer Pension (₦)","YTD NHF (₦)"
"EMP009","Ian","Martinez","333333.33","271307.99","39358.67","22666.67","28333.33","0.00"
"EMP011","Chinedu","Okafor","405016.58","226333.50","51141.95","27541.13","34426.41","0.00"
"EMP012","Amaka","Nwosu","425496.67","341756.16","54806.74","28933.77","36167.22","0.00"
"EMP013","Tunde","Adebayo","378193.33","306093.51","46382.67","25717.15","32146.43","0.00"
"EMP014","Kemi","Adeyemi","271283.17","223192.82","29643.10","18447.25","23059.07","0.00"
"EMP015","Musa","Abdullahi","392634.42","317009.04","48926.24","26699.14","33373.93","0.00"
"EMP016","Aisha","Bello","376831.83","305037.78","46169.49","25624.56","32030.70","0.00"
"EMP017","Olufunke","Ogunleye","253266.92","209222.58","26822.19","17222.15","21527.69","0.00"
"EMP018","Ibrahim","Suleiman","388613.67","313981.19","48206.75","26425.73","33032.16","0.00"
"EMP019","Ngozi","Okeke","411606.00","331295.70","52321.09","27989.21","34986.51","0.00"
"EMP020","Ifeanyi","Uzoho","466140.83","372363.48","62079.77","31697.58","39621.97","0.00"
"EMP021","Fatima","Mohammed","303957.58","248529.34","34759.13","20669.11","25836.39","0.00"
"EMP022","Segun","Oladipo","388900.00","314196.81","48257.99","26445.20","33056.50","0.00"
"EMP023","Chioma","Eze","439876.08","352584.66","57379.85","29911.57","37389.47","0.00"
"EMP024","Yemi","Afolabi","377578.92","305617.09","46286.46","25675.37","32094.21","0.00"
"EMP025","Halima","Usman","273467.58","224886.66","29985.13","18595.79","23244.74","0.00"
"EMP026","Babatunde","Akintola","388422.42","313837.17","48172.53","26412.72","33015.91","0.00"
"EMP027","Uchechukwu","Nnamani","345661.75","280867.75","41289.00","23505.00","29381.25","0.00"
"EMP028","Rasaq","Olatunji","516666.67","410412.27","71121.07","35133.33","43916.67","0.00"
"EMP029","Binta","Adamu","363124.67","294408.92","44023.27","24692.48","30865.60","0.00"
"EMP030","Kehinde","Kolawole","338945.42","275659.75","40237.38","23048.29","28810.36","0.00"
"EMP031","Nneka","Ibekwe","340976.33","277234.56","40555.38","23186.39","28982.99","0.00"
"EMP032","Adamu","Lawal","377902.17","305867.74","46337.08","25697.35","32121.68","0.00"
"EMP033","Oluchi","Chukwu","440461.75","353025.70","57484.65","29951.40","37439.25","0.00"
"EMP034","Sulaiman","Jimoh","446669.00","357700.10","58595.41","30373.49","37966.87","0.00"
"EMP035","Funmilayo","Ayodele","421862.58","339019.48","54156.45","28686.65","35858.32","0.00"
"EMP036","Ahmed","Abdallah","450629.33","360682.46","59304.08","30642.79","38303.49","0.00"
"EMP037","Ify","Okoro","472616.92","377240.34","63238.63","32137.95","40172.44","0.00"
"EMP038","Victor","Umeh","396983.25","320283.95","49704.44","26994.86","33743.58","0.00"
"EMP039","Hauwa","Aliyu","432610.00","347112.89","56079.63","29417.48","36771.85","0.00"
"EMP040","Joshua","Eze","393305.17","317514.15","49046.27","26744.75","33430.94","0.00"
"EMP041","Olabisi","Balogun","409035.58","329360.03","51861.13","27814.42","34768.02","0.00"
"EMP042","Abdullahi","Danjuma","323485.17","263671.50","37816.68","21996.99","27496.24","0.00"
"EMP043","Yetunde","Akinbode","495145.75","394205.81","67270.03","33669.91","42087.39","0.00"
"EMP044","Emeka","Okoro","432384.08","346942.76","56039.20","29402.12","36752.65","0.00"
"EMP045","Zainab","Musa","464323.75","370995.12","61754.62","31574.01","39467.52","0.00"
"EMP046","Chukwuemeka","Iheanacho","286780.67","235209.94","32069.64","19501.09","24376.36","0.00"
"EMP047","Comfort","Obi","413249.42","332533.29","52615.17","28100.96","35126.20","0.00"
"EMP048","Tiamiyu","Adekunle","314016.00","256328.87","36334.04","21353.09","26691.36","0.00"
"EMP049","Ejiro","Osagie","370429.67","300073.39","45167.06","25189.22","31486.52","0.00"
"EMP050","Ibrahim","Gambo","282072.58","281559.19","31332.46","19180.93","23976.17","0.00"
"EMP051","Adanna","Nwachukwu","368265.83","298395.49","44828.26","25042.08","31302.59","0.00"
"EMP052","Sadiq","Lawal","407441.50","328159.60","51575.88","27706.02","34632.53","0.00"
"EMP053","Yewande","Ajayi","482650.08","384795.87","65034.00","32820.21","41025.26","0.00"
"EMP054","Chukwuemeka","Nnaji","440968.83","353407.56","57575.39","29985.88","37482.35","0.00"
"EMP055","Rashida","Bello","283477.58","232648.66","31552.45","19276.47","24095.59","0.00"
"EMP056","Bolaji","Ojo","454464.75","363570.74","59990.41","30903.60","38629.50","0.00"
"EMP057","Adefemi","Ogunbiyi","316251.92","258062.66","36684.13","21505.13","26881.41","0.00"
"EMP058","Precious","Uket","317206.58","258802.93","36833.60","21570.05","26962.56","0.00"
"EMP059","Bayo","Williams","322565.83","262958.62","37672.73","21934.48","27418.10","0.00"
"EMP060","Ndidi","Nweke","334764.83","272418.01","39582.81","22764.01","28455.01","0.00"
